date,reviews,avg_rating
2024-08-31,1,5.0
2024-09-02,1,3.0
2024-09-12,1,5.0
2024-10-06,2,1.5
2024-10-07,1,1.0
2024-10-15,1,3.0
2024-10-16,1,4.0
2024-10-23,1,5.0
2024-11-08,1,1.0
2024-11-18,1,4.0
2024-11-26,1,4.0
2024-11-30,2,5.0
2024-12-05,1,5.0
2024-12-11,1,5.0
2025-01-18,1,5.0
2025-01-28,1,5.0
2025-01-30,1,2.0
2025-02-03,1,5.0
2025-02-05,2,1.0
2025-02-17,1,4.0
2025-02-23,1,5.0
2025-02-25,1,3.0
2025-02-28,1,4.0
2025-03-03,1,4.0
2025-03-12,1,2.0
2025-03-22,1,3.0
2025-03-24,1,5.0
2025-03-25,1,4.0
2025-03-30,1,1.0
2025-04-09,1,3.0
2025-04-12,1,3.0
2025-04-19,1,5.0
2025-04-27,1,1.0
2025-05-03,1,2.0
2025-05-16,1,1.0
2025-05-17,2,2.5
2025-05-20,1,2.0
2025-05-21,1,4.0
2025-06-08,1,5.0
2025-06-18,1,5.0
2025-06-23,2,4.5
2025-07-05,1,3.0
2025-07-15,1,3.0
2025-07-20,1,2.0
2025-07-22,1,2.0
2025-07-24,1,3.0
2025-07-25,1,3.0
2025-08-08,1,3.0
2025-08-11,1,5.0
2025-08-13,1,2.0
2025-08-17,1,1.0
2025-08-22,1,2.0
2025-08-23,1,5.0
2025-08-26,1,4.0
2025-08-29,1,2.0
2025-08-30,3,3.0
2025-08-31,1,4.0
2025-09-02,1,5.0
2025-09-03,1,4.0
2025-09-07,1,1.0
2025-09-08,2,3.5
2025-09-10,1,1.0
2025-09-11,1,3.0
2025-09-15,1,1.0
2025-09-21,2,2.5
2025-09-24,2,2.0
2025-10-02,1,3.0
2025-10-03,1,4.0
2025-10-09,1,5.0
2025-10-10,1,5.0
2025-10-11,1,1.0
2025-10-15,1,5.0
2025-10-21,1,4.0
2025-10-26,1,4.0
2025-11-03,1,1.0
2025-11-06,1,5.0
2025-11-07,13,2.4615384615384617
2025-11-08,14,2.0714285714285716
2025-11-09,18,3.2777777777777777
2025-11-10,16,2.625
2025-11-11,21,3.380952380952381
2025-11-12,19,2.1578947368421053
2025-11-13,18,2.7777777777777777
2025-11-14,20,2.8
2025-11-15,18,3.5555555555555554
2025-11-16,15,3.7333333333333334
2025-11-17,16,2.0625
2025-11-18,18,3.111111111111111
2025-11-19,17,2.411764705882353
2025-11-20,15,3.4
2025-11-21,12,3.5
2025-11-22,23,3.3043478260869565
2025-11-23,17,3.4705882352941178
2025-11-24,18,3.611111111111111
2025-11-25,19,2.736842105263158
2025-11-26,12,2.5
2025-11-27,18,2.5555555555555554
2025-11-28,20,3.0
2025-11-29,20,3.0
2025-11-30,18,3.8333333333333335
2025-12-01,8,2.25
2025-12-02,13,3.3076923076923075
2025-12-03,18,3.0
2025-12-04,16,2.4375
2025-12-05,20,3.0
2025-12-06,22,3.409090909090909
2025-12-07,18,3.0
2025-12-08,20,3.75
2025-12-09,30,3.033333333333333
2025-12-10,27,2.740740740740741
2025-12-11,19,3.263157894736842
2025-12-12,23,2.9130434782608696
2025-12-13,33,3.1818181818181817
2025-12-14,22,3.0454545454545454
2025-12-15,16,2.875
2025-12-16,29,2.896551724137931
2025-12-17,24,2.5833333333333335
2025-12-18,20,2.15
2025-12-19,18,2.2777777777777777
2025-12-20,43,2.813953488372093
2025-12-21,42,2.642857142857143
2025-12-22,18,2.4444444444444446
2025-12-23,28,2.5714285714285716
2025-12-24,23,3.6956521739130435
2025-12-25,27,3.4814814814814814
2025-12-26,16,3.375
2025-12-27,14,3.5714285714285716
2025-12-28,22,2.8181818181818183
2025-12-29,10,3.3
2025-12-30,8,3.75
2025-12-31,14,3.2857142857142856
2026-01-01,12,3.4166666666666665
2026-01-02,21,3.619047619047619
2026-01-03,22,3.590909090909091
2026-01-04,31,2.6129032258064515
2026-01-05,19,3.473684210526316
2026-01-06,32,2.71875
2026-01-07,22,3.090909090909091
2026-01-08,16,3.5625
2026-01-09,29,3.1724137931034484
2026-01-10,22,3.5
2026-01-11,28,3.5357142857142856
2026-01-12,30,3.2333333333333334
2026-01-13,45,3.6666666666666665
2026-01-14,44,3.590909090909091
2026-01-15,43,3.116279069767442
2026-01-16,36,3.25
2026-01-17,58,3.3793103448275863
2026-01-18,66,3.484848484848485
2026-01-19,72,3.7083333333333335
2026-01-20,64,3.671875
2026-01-21,66,3.5757575757575757
2026-01-22,63,3.7142857142857144
2026-01-23,53,3.6037735849056602
2026-01-24,59,3.6610169491525424
2026-01-25,61,3.4918032786885247
2026-01-26,52,3.6538461538461537
2026-01-27,71,3.352112676056338
2026-01-28,61,3.737704918032787
2026-01-29,59,3.5084745762711864
2026-01-30,43,3.255813953488372
2026-01-31,59,3.7966101694915255
2026-02-01,75,3.466666666666667
2026-02-02,2,2.5
2026-02-03,2,3.5
2026-02-05,2600,4.531153846153846
